 LS-DYNA keyword deck by LS-PrePost                                      
                    ls-dyna mpp d R14 R14.1.1_8_2ef819c date 10/28/2024
ICFD Drag Forces and Moments
time,            Fpx,Fpy,            Fpz,Fvx,            Fvy,Fvz,            Mpx,Mpy,            Mpz,Mvx,            Mvy,Mvz
 LS-DYNA keyword deck by LS-PrePost                                      
                    ls-dyna mpp d R14 R14.1.1_8_2ef819c date 10/28/2024
ICFD Drag Forces and Moments
time,            Fpx,            Fpy,            Fpz,            Fvx,            Fvy,            Fvz,            Mpx,            Mpy,            Mpz,            Mvx,            Mvy,            Mvz
7.500000E-04   -4.112093E-01   -1.760209E-01   -3.856688E+01    0.000000E+00    0.000000E+00    0.000000E+00    4.853388E-02   -1.517778E-01    5.669818E-02    0.000000E+00    0.000000E+00    0.000000E+00
1.750000E-03   -3.029851E-01   -1.917018E-01   -3.775561E+01    0.000000E+00    0.000000E+00    0.000000E+00    4.251305E-02   -1.368250E-01    6.244445E-02    0.000000E+00    0.000000E+00    0.000000E+00
2.750000E-03   -8.714843E-02   -1.791267E-01   -3.557022E+01    0.000000E+00    0.000000E+00    0.000000E+00    3.056049E-02   -7.265053E-02    5.814115E-02    0.000000E+00    0.000000E+00    0.000000E+00
3.750000E-03   -2.678979E-02   -1.233780E-01   -3.407154E+01    0.000000E+00    0.000000E+00    0.000000E+00    1.136429E-02   -4.966997E-02    5.253909E-02    0.000000E+00    0.000000E+00    0.000000E+00
4.750000E-03   -1.024600E-01   -5.079871E-02   -3.372492E+01    0.000000E+00    0.000000E+00    0.000000E+00   -1.394592E-02   -7.091878E-02    5.101325E-02    0.000000E+00    0.000000E+00    0.000000E+00
5.750000E-03   -1.902792E-01   -2.166138E-04   -3.370025E+01    0.000000E+00    0.000000E+00    0.000000E+00   -3.137574E-02   -9.576079E-02    5.080189E-02    0.000000E+00    0.000000E+00    0.000000E+00
6.750000E-03   -2.381752E-01    1.406140E-02   -3.365238E+01    0.000000E+00    0.000000E+00    0.000000E+00   -3.548817E-02   -1.072866E-01    5.096765E-02    0.000000E+00    0.000000E+00    0.000000E+00
7.750000E-03   -2.318246E-01   -7.478585E-03   -3.355801E+01    0.000000E+00    0.000000E+00    0.000000E+00   -2.811376E-02   -1.029218E-01    4.896565E-02    0.000000E+00    0.000000E+00    0.000000E+00
8.750000E-03   -1.172580E-01   -3.318402E-02   -2.478527E+01    0.000000E+00    0.000000E+00    0.000000E+00   -7.724059E-03   -5.109377E-02    3.120164E-02    0.000000E+00    0.000000E+00    0.000000E+00
9.750000E-03    5.346122E-02   -8.631873E-02   -3.401048E+00    0.000000E+00    0.000000E+00    0.000000E+00    3.047281E-02    1.548395E-02   -9.745787E-03    0.000000E+00    0.000000E+00    0.000000E+00
1.075000E-02    5.116395E-02   -7.515075E-02    7.431072E+00    0.000000E+00    0.000000E+00    0.000000E+00    3.845929E-02    2.046017E-02   -1.463980E-02    0.000000E+00    0.000000E+00    0.000000E+00
1.175000E-02   -3.875896E-02   -2.597017E-02    4.330045E+00    0.000000E+00    0.000000E+00    0.000000E+00    1.700031E-02   -1.321929E-02   -2.361159E-03    0.000000E+00    0.000000E+00    0.000000E+00
1.275000E-02   -7.408968E-02   -2.250805E-02   -3.625310E+00    0.000000E+00    0.000000E+00    0.000000E+00    9.399686E-03   -3.168594E-02    9.546934E-03    0.000000E+00    0.000000E+00    0.000000E+00
1.375000E-02   -4.419668E-03   -4.885929E-02   -6.859853E+00    0.000000E+00    0.000000E+00    0.000000E+00    1.660521E-02   -1.047509E-02    8.290643E-03    0.000000E+00    0.000000E+00    0.000000E+00
1.475000E-02    4.787254E-02   -5.157189E-02   -5.764105E+00    0.000000E+00    0.000000E+00    0.000000E+00    1.893172E-02    9.125875E-03    1.188903E-03    0.000000E+00    0.000000E+00    0.000000E+00
1.575000E-02    4.416071E-02   -3.714170E-02   -3.766047E+00    0.000000E+00    0.000000E+00    0.000000E+00    1.713930E-02    1.290792E-02   -5.726132E-03    0.000000E+00    0.000000E+00    0.000000E+00
1.675000E-02   -1.681186E-02   -1.680912E-02   -3.395555E+00    0.000000E+00    0.000000E+00    0.000000E+00    8.880078E-03   -8.742857E-03    1.533238E-03    0.000000E+00    0.000000E+00    0.000000E+00
1.775000E-02   -3.471981E-02   -3.427974E-02   -4.110214E+00    0.000000E+00    0.000000E+00    0.000000E+00    1.615199E-02   -1.336370E-02    7.254424E-03    0.000000E+00    0.000000E+00    0.000000E+00
1.875000E-02   -2.129288E-02   -5.972460E-02   -5.000901E+00    0.000000E+00    0.000000E+00    0.000000E+00    2.532018E-02   -9.102821E-03    8.753873E-03    0.000000E+00    0.000000E+00    0.000000E+00
1.975000E-02   -6.705638E-03   -7.695233E-02   -5.570915E+00    0.000000E+00    0.000000E+00    0.000000E+00    3.235032E-02   -6.429282E-03    6.583491E-03    0.000000E+00    0.000000E+00    0.000000E+00
2.075000E-02    6.852620E-03   -5.822912E-02   -5.965415E+00    0.000000E+00    0.000000E+00    0.000000E+00    2.389589E-02   -9.289366E-04    5.403874E-03    0.000000E+00    0.000000E+00    0.000000E+00
2.175000E-02   -5.293857E-03   -3.429826E-02   -6.298532E+00    0.000000E+00    0.000000E+00    0.000000E+00    1.385210E-02   -5.396368E-03    5.953761E-03    0.000000E+00    0.000000E+00    0.000000E+00
2.275000E-02   -4.052436E-03   -2.983815E-02   -6.608069E+00    0.000000E+00    0.000000E+00    0.000000E+00    1.269327E-02   -1.576782E-03    5.889459E-03    0.000000E+00    0.000000E+00    0.000000E+00
2.375000E-02   -1.880318E-02   -4.142421E-02   -6.933356E+00    0.000000E+00    0.000000E+00    0.000000E+00    1.773928E-02   -7.691363E-03    7.073862E-03    0.000000E+00    0.000000E+00    0.000000E+00
2.475000E-02   -2.268106E-02   -5.649369E-02   -7.312399E+00    0.000000E+00    0.000000E+00    0.000000E+00    2.435430E-02   -9.570268E-03    8.668090E-03    0.000000E+00    0.000000E+00    0.000000E+00
2.575000E-02   -2.746813E-02   -4.019605E-02   -7.744836E+00    0.000000E+00    0.000000E+00    0.000000E+00    1.560956E-02   -1.244162E-02    8.874098E-03    0.000000E+00    0.000000E+00    0.000000E+00
2.675000E-02   -3.629818E-02   -2.505583E-02   -8.178054E+00    0.000000E+00    0.000000E+00    0.000000E+00    8.267779E-03   -1.663685E-02    9.020818E-03    0.000000E+00    0.000000E+00    0.000000E+00
2.775000E-02   -4.685138E-02   -2.239852E-02   -8.574063E+00    0.000000E+00    0.000000E+00    0.000000E+00    7.430552E-03   -2.116349E-02    9.738041E-03    0.000000E+00    0.000000E+00    0.000000E+00
