 LS-DYNA keyword deck by LS-PrePost                                      
                    ls-dyna mpp d R14 R14.1.1_8_2ef819c date 10/28/2024
ICFD Drag Forces and Moments
time,            Fpx,Fpy,            Fpz,Fvx,            Fvy,Fvz,            Mpx,Mpy,            Mpz,Mvx,            Mvy,Mvz
 LS-DYNA keyword deck by LS-PrePost                                      
                    ls-dyna mpp d R14 R14.1.1_8_2ef819c date 10/28/2024
ICFD Drag Forces and Moments
time,            Fpx,            Fpy,            Fpz,            Fvx,            Fvy,            Fvz,            Mpx,            Mpy,            Mpz,            Mvx,            Mvy,            Mvz
1.000000E-03    4.310930E-01   -3.597730E-01   -3.416029E+01    0.000000E+00    0.000000E+00    0.000000E+00    1.206841E-01    1.170924E-01   -1.113002E-03    0.000000E+00    0.000000E+00    0.000000E+00
2.000000E-03    4.276042E-01   -3.605643E-01   -3.430360E+01    0.000000E+00    0.000000E+00    0.000000E+00    1.192089E-01    1.110809E-01    2.608981E-04    0.000000E+00    0.000000E+00    0.000000E+00
3.000000E-03    4.982275E-01   -3.103225E-01   -3.286902E+01    0.000000E+00    0.000000E+00    0.000000E+00    1.023082E-01    1.284864E-01    2.059997E-03    0.000000E+00    0.000000E+00    0.000000E+00
4.000000E-03    5.153540E-01   -2.731887E-01   -3.140451E+01    0.000000E+00    0.000000E+00    0.000000E+00    8.985311E-02    1.330768E-01    3.391493E-03    0.000000E+00    0.000000E+00    0.000000E+00
5.000000E-03    4.918153E-01   -3.035442E-01   -3.051917E+01    0.000000E+00    0.000000E+00    0.000000E+00    1.037485E-01    1.304644E-01    3.781440E-03    0.000000E+00    0.000000E+00    0.000000E+00
6.000000E-03    4.508260E-01   -3.790990E-01   -3.013183E+01    0.000000E+00    0.000000E+00    0.000000E+00    1.344296E-01    1.269449E-01    4.266424E-03    0.000000E+00    0.000000E+00    0.000000E+00
7.000000E-03    4.160903E-01   -4.511519E-01   -2.998925E+01    0.000000E+00    0.000000E+00    0.000000E+00    1.615437E-01    1.226240E-01    4.457341E-03    0.000000E+00    0.000000E+00    0.000000E+00
8.000000E-03    3.572981E-01   -4.803870E-01   -2.981473E+01    0.000000E+00    0.000000E+00    0.000000E+00    1.741581E-01    1.100060E-01    4.641906E-03    0.000000E+00    0.000000E+00    0.000000E+00
9.000000E-03    2.980732E-01   -4.851463E-01   -2.960107E+01    0.000000E+00    0.000000E+00    0.000000E+00    1.776634E-01    9.472666E-02    4.824703E-03    0.000000E+00    0.000000E+00    0.000000E+00
1.000000E-02    2.508501E-01   -4.764391E-01   -2.940213E+01    0.000000E+00    0.000000E+00    0.000000E+00    1.763705E-01    8.158090E-02    4.979040E-03    0.000000E+00    0.000000E+00    0.000000E+00
1.100000E-02    2.088882E-01   -4.627334E-01   -2.925392E+01    0.000000E+00    0.000000E+00    0.000000E+00    1.723217E-01    7.069952E-02    5.345413E-03    0.000000E+00    0.000000E+00    0.000000E+00
1.200000E-02    1.092160E-01   -2.884305E-01   -1.612371E+01    0.000000E+00    0.000000E+00    0.000000E+00    1.091873E-01    4.029986E-02    2.371431E-03    0.000000E+00    0.000000E+00    0.000000E+00
1.300000E-02    3.370719E-02   -8.604922E-02   -4.354460E-01    0.000000E+00    0.000000E+00    0.000000E+00    3.778736E-02    1.783209E-02   -4.684698E-05    0.000000E+00    0.000000E+00    0.000000E+00
1.400000E-02    5.188820E-03    2.192437E-02    7.651319E+00    0.000000E+00    0.000000E+00    0.000000E+00   -2.153107E-03    8.313358E-03   -7.460672E-04    0.000000E+00    0.000000E+00    0.000000E+00
1.500000E-02    1.493255E-02    2.367468E-02    6.292565E+00    0.000000E+00    0.000000E+00    0.000000E+00   -2.486128E-03    8.583251E-03   -8.134858E-04    0.000000E+00    0.000000E+00    0.000000E+00
1.600000E-02    3.541345E-02   -2.733579E-02    2.726211E-01    0.000000E+00    0.000000E+00    0.000000E+00    1.409214E-02    1.184561E-02    7.313911E-05    0.000000E+00    0.000000E+00    0.000000E+00
1.700000E-02    4.502933E-02   -7.921077E-02   -4.722038E+00    0.000000E+00    0.000000E+00    0.000000E+00    3.006218E-02    1.427404E-02    9.392046E-04    0.000000E+00    0.000000E+00    0.000000E+00
1.800000E-02    5.193362E-02   -9.868227E-02   -6.119392E+00    0.000000E+00    0.000000E+00    0.000000E+00    3.699593E-02    1.810301E-02    1.002988E-03    0.000000E+00    0.000000E+00    0.000000E+00
